PEP218025000,BACKUSI1  ,000000113,0000000000002352,0000000000001148,0000000000003500,0000000000000000
PEP239001006,UNACEMC1  ,000000013,0000000000000000,0000000000003590,0000000000003590,0000000000000000
PEP239001006,UNACEMC1  ,000000019,0000000000200788,0000000000000000,0000000000200788,0000000000000000
PEP239001006,UNACEMC1  ,000000029,0000000000011537,0000000000000000,0000000000011537,0000000000000000
PEP239001006,UNACEMC1  ,000000047,0000000000011959,0000000000020701,0000000000032660,0000000000000000
PEP239001006,UNACEMC1  ,000000094,0000000000000000,0000000000003500,0000000000003500,0000000000000000
PEP239001006,UNACEMC1  ,000000113,0000000000091834,0000000000053044,0000000000144878,0000000000000000
PEP239501005,CPACASC1  ,000000001,0000000000019287,0000000000078665,0000000000097952,0000000000000000
PEP239501005,CPACASC1  ,000000029,0000000000001200,0000000000000300,0000000000001500,0000000000027860
PEP239501005,CPACASC1  ,000000047,0000000000000827,0000000000009066,0000000000009893,0000000000000000
PEP239501005,CPACASC1  ,000000067,0000000000000000,0000000000013000,0000000000013000,0000000000000000
PEP239501005,CPACASC1  ,000000069,0000000000020000,0000000000030000,0000000000050000,0000000000000000
PEP239501005,CPACASC1  ,000000079,0000000000005400,0000000000002704,0000000000008104,0000000000000000
PEP239501005,CPACASC1  ,000000094,0000000000000000,0000000000008654,0000000000008654,0000000000000000
PEP239501005,CPACASC1  ,000000110,0000000000022832,0000000000019390,0000000000042222,0000000000090000
PEP531001001,SIDERC1   ,000000013,0000000000000000,0000000000083000,0000000000083000,0000000000000000
PEP531001001,SIDERC1   ,000000019,0000000004314154,0000000003018000,0000000007332154,0000000000000000
PEP531001001,SIDERC1   ,000000029,0000000000165016,0000000000044258,0000000000209274,0000000000000000
PEP531001001,SIDERC1   ,000000047,0000000000000000,0000000000054060,0000000000054060,0000000000000000
PEP531001001,SIDERC1   ,000000112,0000000000000000,0000000000002250,0000000000002250,0000000000000000
PEP608004201,ATACOBC1  ,000000013,0000000000000000,0000000000086170,0000000000086170,0000000000000000
PEP608004201,ATACOBC1  ,000000019,0000000000000000,0000000000095000,0000000000095000,0000000000000000
PEP608004201,ATACOBC1  ,000000029,0000000000414770,0000000000185230,0000000000600000,0000000000000000
PEP616305004,MINCORI1  ,000000019,0000000000030029,0000000000115634,0000000000145663,0000000000000000
PEP616305004,MINCORI1  ,000000047,0000000000003125,0000000000005300,0000000000008425,0000000000000000
PEP616305004,MINCORI1  ,000000079,0000000000000000,0000000000001472,0000000000001472,0000000000000000
PEP616305004,MINCORI1  ,000000091,0000000000000000,0000000000001000,0000000000001000,0000000000000000
PEP617001008,BROCALC1  ,000000013,0000000000003997,0000000000000000,0000000000003997,0000000000000000
PEP622005002,MINSURI1  ,000000001,0000000000020000,0000000000000000,0000000000020000,0000000000000000
PEP622005002,MINSURI1  ,000000013,0000000000026942,0000000000062442,0000000000089384,0000000000000000
PEP622005002,MINSURI1  ,000000019,0000000001066354,0000000001586943,0000000002653297,0000000000000000
PEP622005002,MINSURI1  ,000000029,0000000000082926,0000000000038198,0000000000121124,0000000000000000
PEP622005002,MINSURI1  ,000000047,0000000000082473,0000000000018978,0000000000101451,0000000000000000
PEP622005002,MINSURI1  ,000000067,0000000000005817,0000000000004000,0000000000009817,0000000000000000
PEP622005002,MINSURI1  ,000000069,0000000000000000,0000000000074700,0000000000074700,0000000000000000
PEP622005002,MINSURI1  ,000000085,0000000000003650,0000000000001400,0000000000005050,0000000000000000
PEP622005002,MINSURI1  ,000000091,0000000000063175,0000000000025826,0000000000089001,0000000000000000
PEP622005002,MINSURI1  ,000000094,0000000000007381,0000000000004919,0000000000012300,0000000000000000
PEP622005002,MINSURI1  ,000000112,0000000000008811,0000000000011525,0000000000020336,0000000000000000
PEP624005000,MOROCOI1  ,000000013,0000000000010000,0000000000000000,0000000000010000,0000000000000000
PEP646501002,CVERDEC1  ,000000001,0000000000000523,0000000000000689,0000000000001212,0000000000189100
PEP646501002,CVERDEC1  ,000000013,0000000000000729,0000000000000526,0000000000001255,0000000000000000
PEP646501002,CVERDEC1  ,000000019,0000000000004717,0000000000005510,0000000000010227,0000000000000000
PEP646501002,CVERDEC1  ,000000029,0000000000000000,0000000000000102,0000000000000102,0000000000000000
PEP646501002,CVERDEC1  ,000000047,0000000000000621,0000000000001068,0000000000001689,0000000000000000
PEP646501002,CVERDEC1  ,000000091,0000000000000322,0000000000001147,0000000000001469,0000000000103150
PEP646501002,CVERDEC1  ,000000094,0000000000001115,0000000000001730,0000000000002845,0000000000000000
PEP646501002,CVERDEC1  ,000000110,0000000000001660,0000000000000340,0000000000002000,0000000000000000
PEP648014202,VOLCABC1  ,000000001,0000000000572600,0000000002275891,0000000002848491,0000000000071662
PEP648014202,VOLCABC1  ,000000013,0000000000420888,0000000000411657,0000000000832545,0000000000000000
PEP648014202,VOLCABC1  ,000000019,0000000001211491,0000000001623984,0000000002835475,0000000000000000
PEP648014202,VOLCABC1  ,000000029,0000000000094020,0000000000209500,0000000000303520,0000000000000000
PEP648014202,VOLCABC1  ,000000047,0000000001693000,0000000000380589,0000000002073589,0000000000000000
PEP648014202,VOLCABC1  ,000000067,0000000000115370,0000000000009000,0000000000124370,0000000000000000
PEP648014202,VOLCABC1  ,000000069,0000000000000000,0000000000100000,0000000000100000,0000000000000000
PEP648014202,VOLCABC1  ,000000079,0000000000838174,0000000000422000,0000000001260174,0000000000000000
PEP648014202,VOLCABC1  ,000000091,0000000000858253,0000000000577075,0000000001435328,0000000002373209
PEP648014202,VOLCABC1  ,000000094,0000000000478412,0000000000491366,0000000000969778,0000000000063734
PEP648014202,VOLCABC1  ,000000108,0000000002310005,0000000001551253,0000000003861258,0000000000000000
PEP648014202,VOLCABC1  ,000000110,0000000000337467,0000000000246700,0000000000584167,0000000001079561
PEP648014202,VOLCABC1  ,000000112,0000000000045157,0000000000026128,0000000000071285,0000000000000000
PEP648014202,VOLCABC1  ,000000113,0000000000610441,0000000000459700,0000000001070141,0000000002333184
PEP700511004,ENGEPEC1  ,000000001,0000000000000000,0000000000002110,0000000000002110,0000000000000000
PEP700511004,ENGEPEC1  ,000000029,0000000000004983,0000000000000000,0000000000004983,0000000000000000
PEP700511004,ENGEPEC1  ,000000091,0000000000015000,0000000000000000,0000000000015000,0000000000109563
PEP701011004,ENDISPC1  ,000000019,0000000000005175,0000000000000000,0000000000005175,0000000000000000
PEP701011004,ENDISPC1  ,000000069,0000000000000000,0000000000014612,0000000000014612,0000000000000000
PEP701011004,ENDISPC1  ,000000079,0000000000002950,0000000000002960,0000000000005910,0000000000000000
PEP701011004,ENDISPC1  ,000000091,0000000000018702,0000000000010000,0000000000028702,0000000000000000
PEP702001A04,HIDRA2C1  ,000000013,0000000000002158,0000000000007842,0000000000010000,0000000000000000
PEP702001A04,HIDRA2C1  ,000000019,0000000002000000,0000000000000000,0000000002000000,0000000000000000
PEP702001A04,HIDRA2C1  ,000000029,0000000000259080,0000000000244425,0000000000503505,0000000000005358
PEP702101002,ENGIEC1   ,000000019,0000000000005574,0000000000004000,0000000000009574,0000000000000000
PEP702521001,LUSURC1   ,000000001,0000000000000000,0000000000002000,0000000000002000,0000000000000000
PEP702521001,LUSURC1   ,000000091,0000000000001014,0000000000002100,0000000000003114,0000000000000000
PEP702521001,LUSURC1   ,000000110,0000000000000000,0000000000005000,0000000000005000,0000000000000000
PEP702521001,LUSURC1   ,000000113,0000000000008723,0000000000000000,0000000000008723,0000000000000000
PEP736001004,FERREYC1  ,000000001,0000000000018298,0000000000074000,0000000000092298,0000000000000000
PEP736001004,FERREYC1  ,000000013,0000000000000000,0000000000004500,0000000000004500,0000000000000000
PEP736001004,FERREYC1  ,000000019,0000000001429307,0000000001020000,0000000002449307,0000000000000000
PEP736001004,FERREYC1  ,000000029,0000000000015300,0000000000034500,0000000000049800,0000000000000000
PEP736001004,FERREYC1  ,000000047,0000000000263470,0000000000282350,0000000000545820,0000000000000000
PEP736001004,FERREYC1  ,000000067,0000000000061284,0000000000079000,0000000000140284,0000000000000000
PEP736001004,FERREYC1  ,000000091,0000000000513933,0000000000378075,0000000000892008,0000000000000000
PEP736001004,FERREYC1  ,000000094,0000000000282793,0000000000163363,0000000000446156,0000000000000000
PEP736001004,FERREYC1  ,000000110,0000000000071260,0000000000045170,0000000000116430,0000000000000000
PEP736001004,FERREYC1  ,000000113,0000000000067103,0000000000046300,0000000000113403,0000000000000000
PEP736581005,AENZAC1   ,000000029,0000000000000000,0000000000003000,0000000000003000,0000000000000000
PEP736581005,AENZAC1   ,000000091,0000000000000000,0000000000145400,0000000000145400,0000000000000000
PEP736581005,AENZAC1   ,000000094,0000000000000000,0000000000026618,0000000000026618,0000000000000000
PEP736581005,AENZAC1   ,000000113,0000000000000000,0000000000001500,0000000000001500,0000000000000000
PEP771461006,CASAGRC1  ,000000013,0000000000040543,0000000000067215,0000000000107758,0000000000000000
PEP771461006,CASAGRC1  ,000000029,0000000000015761,0000000000025000,0000000000040761,0000000000000000
PEP771461006,CASAGRC1  ,000000047,0000000000052583,0000000000103670,0000000000156253,0000000001807725
PEP771461006,CASAGRC1  ,000000091,0000000000000000,0000000000006791,0000000000006791,0000000000000000
PEP771461006,CASAGRC1  ,000000110,0000000000118902,0000000000000000,0000000000118902,0000000012406108
PEP900001103,GBVLAC1   ,000000013,0000000001504220,0000000001019200,0000000002523420,0000000000000000
PEP900001103,GBVLAC1   ,000000079,0000000000026100,0000000000012840,0000000000038940,0000000000000000
PEP900001103,GBVLAC1   ,000000110,0000000008005157,0000000004899337,0000000012904494,0000000020190377
US0231351067,AMZN      ,000000001,0000000000000000,0000000000000014,0000000000000014,0000000000000000
US0378331005,AAPL      ,000000001,0000000000000306,0000000000000373,0000000000000679,0000000000000000
US0378331005,AAPL      ,000000113,0000000000000000,0000000000000025,0000000000000025,0000000000000000
US0970231058,BA        ,000000001,0000000000000000,0000000000000020,0000000000000020,0000000000000000
US1729674242,C         ,000000001,0000000000000000,0000000000000229,0000000000000229,0000000000000000
US2044481040,BVN       ,000000001,0000000000011489,0000000000013425,0000000000024914,0000000000785298
US2044481040,BVN       ,000000013,0000000000000831,0000000000003660,0000000000004491,0000000000000000
US2044481040,BVN       ,000000019,0000000000019185,0000000000014466,0000000000033651,0000000000000000
US2044481040,BVN       ,000000029,0000000000007189,0000000000003617,0000000000010806,0000000000116437
US2044481040,BVN       ,000000047,0000000000000000,0000000000001394,0000000000001394,0000000000000000
US2044481040,BVN       ,000000079,0000000000000207,0000000000000236,0000000000000443,0000000000054300
US2044481040,BVN       ,000000091,0000000000000000,0000000000001000,0000000000001000,0000000000000000
US2044481040,BVN       ,000000094,0000000000001808,0000000000000927,0000000000002735,0000000000000000
US2044481040,BVN       ,000000112,0000000000000000,0000000000000115,0000000000000115,0000000000000000
US2044481040,BVN       ,000000113,0000000000049110,0000000000072892,0000000000122002,0000000000200000
US2546871060,DIS       ,000000001,0000000000000000,0000000000000030,0000000000000030,0000000000000000
US30303M1027,FB        ,000000001,0000000000000210,0000000000000037,0000000000000247,0000000000000000
US30303M1027,FB        ,000000029,0000000000000000,0000000000000015,0000000000000015,0000000000000000
US30303M1027,FB        ,000000079,0000000000000054,0000000000000059,0000000000000113,0000000000110000
US30303M1027,FB        ,000000112,0000000000000030,0000000000000029,0000000000000059,0000000000000000
US30303M1027,FB        ,000000113,0000000000000000,0000000000000066,0000000000000066,0000000000000000
US5949181045,MSFT      ,000000019,0000000000000051,0000000000000050,0000000000000101,0000000000000000
US70450Y1038,PYPL      ,000000001,0000000000000000,0000000000000100,0000000000000100,0000000000000000
US70450Y1038,PYPL      ,000000029,0000000000000000,0000000000000023,0000000000000023,0000000000000000
US7170811035,PFE       ,000000019,0000000000000164,0000000000000000,0000000000000164,0000000000000000
US78462F1030,SPY       ,000000001,0000000000000010,0000000000000000,0000000000000010,0000000000035066
US84265V1052,SCCO      ,000000001,0000000000000111,0000000000000162,0000000000000273,0000000000000000
US84265V1052,SCCO      ,000000019,0000000000000473,0000000000000400,0000000000000873,0000000000000000
US88160R1014,TSLA      ,000000001,0000000000000000,0000000000000011,0000000000000011,0000000000000000
